GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "06000","California",8,CAGDP2,1,"...","All industry total","Thousands of dollars",1387551820,1439341677,1530559794,1632428734,1752648907,1874851315,1955320948,1990187856,1919271115,1973511854,2049336793,2144089599,2261510622,2399077700,2559643240,2671100529,2831038425,2975083022,3132800579
 "06000","California",8,CAGDP2,2,"..."," Private industries","Thousands of dollars",1210354428,1251842106,1333584752,1426874149,1537967412,1648718785,1712996627,1735766962,1664961879,1715845095,1786255766,1879519723,1986308335,2109591191,2253561530,2353390417,2508060750,2641031004,2785470713
 "06000","California",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",17706849,18551181,21089575,25234852,25239082,24270645,28327524,26060747,25265378,28686963,32784473,34377241,37986587,40985984,37996629,37079381,39278698,38575681,39295561
 "06000","California",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",6427826,5926413,7008622,9140990,12711945,17722203,21459384,25724839,17929472,18350485,20556258,21345553,19396593,17360974,9089269,7414639,8955059,10480641,8837559
 "06000","California",8,CAGDP2,10,"22","  Utilities","Thousands of dollars",14644931,20252624,20992981,20786130,21006477,25232502,25458514,25002478,27489734,28563593,29969330,29432683,31077596,32085596,33253721,34055548,37603911,39589660,41686003
 "06000","California",8,CAGDP2,11,"23","  Construction","Thousands of dollars",58705353,59869935,66909114,81008306,92280637,97674262,94651341,76877071,65367889,61607100,58911205,64000545,72445206,78081365,87926365,96019660,103866796,112727337,119484533
 "06000","California",8,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",177792189,162314552,176910406,183888516,208693477,222715078,233541634,249822920,232710129,227160885,225342083,236789799,250455759,264550586,279845365,284575468,303429461,320308950,324429224
 "06000","California",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",112968541,106376826,112176388,112760617,124380638,128648486,133658483,133071205,130070674,131427557,137559833,141041511,148539424,154774359,166369847,173506464,186072188,197478751,201735131
 "06000","California",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",64823648,55937726,64734018,71127899,84312839,94066592,99883151,116751715,102639454,95733328,87782250,95748288,101916334,109776228,113475517,111069004,117357273,122830199,122694093
 "06000","California",8,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",76136654,76299405,79952784,84734026,93290102,101915730,108303897,109243295,99388961,106653022,117444355,120096594,127913528,138933944,152035621,147566917,153768068,156254567,166877682
 "06000","California",8,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",99000804,102986489,108623175,115040380,121255822,126458104,123280322,115308888,109518944,113860261,116227430,122246825,129592207,132816589,139247417,140757528,144620857,146159945,154425494
 "06000","California",8,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",33587623,33554448,34577670,38568537,40122198,45704890,45312674,45429201,42744946,45962065,47465001,48339705,51441989,55244105,61074746,67086670,71271572,78160088,89883627
 "06000","California",8,CAGDP2,45,"51","  Information","Thousands of dollars",92900237,100884921,105080742,117147667,119919762,127129777,137110443,141853018,131034814,146938427,151320887,153395200,182881347,192630866,219737433,243381712,268600188,280143804,300506934
 "06000","California",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",281760549,305730789,329274035,345210552,378522871,405424900,415139929,406936415,410255375,416427089,435504479,462344310,485436857,520643087,550580795,580723280,626555893,660810432,693026888
 "06000","California",8,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",76858535,83896805,90992805,86856442,95095093,103445331,99440318,80768113,92780114,94895335,98468106,111042287,111612292,121513778,125980037,134406563,150498417,153541791,154660099
 "06000","California",8,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",204902013,221833984,238281230,258354109,283427777,301979569,315699612,326168301,317475260,321531754,337036373,351302023,373824565,399129309,424600758,446316717,476057476,507268641,538366789
 "06000","California",8,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",181768160,180011004,186915389,195773618,207138840,222926534,241514455,261326550,245371018,255112314,272161789,293738945,293511602,313051189,337111342,348124879,367000937,395062223,418863262
 "06000","California",8,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",112880753,113283475,117234081,121800688,131314563,142667634,155446239,174788689,164346148,170057180,182545917,199516243,196554500,210393662,228747635,231913360,243431820,263056804,281800772
 "06000","California",8,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",27985064,25296741,25446458,26220741,24836944,25696361,26722762,26430013,25229729,26563346,28547835,30049691,34023169,35911459,37804331,39355854,40464093,46184411,46791533
 "06000","California",8,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",40902343,41430788,44234851,47752190,50987333,54562538,59345454,60107848,55795141,58491789,61068038,64173011,62933933,66746067,70559376,76855665,83105024,85821009,90270957
 "06000","California",8,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",78912131,87113359,93758174,101237178,105584495,112785233,118712537,131327732,141030216,147581331,154604216,162490051,168108700,174515623,185708034,197466437,205850662,216491426,229120217
 "06000","California",8,CAGDP2,69,"61","   Educational services","Thousands of dollars",10752426,11602857,12958018,14438743,14862429,16139885,16981482,19080491,21498967,23110778,24263650,25460478,26095758,27792459,28729645,30309157,31042835,32468234,33915961
 "06000","California",8,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",68159706,75510502,80800156,86798435,90722066,96645347,101731055,112247241,119531249,124470554,130340566,137029573,142012942,146723164,156978390,167157280,174807827,184023193,195204255
 "06000","California",8,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",55426772,59925913,64821182,69471046,70654573,75153778,76316688,78003289,75252673,77316349,81691849,87045242,91057269,100548482,109726501,117955502,123579753,130216285,139753302
 "06000","California",8,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",17804816,19517474,22780837,24091484,25038651,26168732,26423976,27504570,26991898,28074073,29760141,32510562,32909675,35353798,35547513,37788965,39123789,42014285,44527476
 "06000","California",8,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",37621956,40408439,42040345,45379562,45615922,48985046,49892711,50498719,48260775,49242277,51931708,54534680,58147594,65194684,74178988,80166537,84455964,88202001,95225826
 "06000","California",8,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",35584350,38421075,37670903,39632353,41547132,43605149,43867286,42850520,41602330,41625210,42272411,43877030,45003095,48142802,50228293,51182798,53678894,56049964,59280426
 "06000","California",8,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",177197392,187499571,196975041,205554585,214681495,226132531,242324321,254420894,254309237,257666759,263081027,264569876,275202287,289486508,306081710,317710112,322977675,334052019,347329867
 "06000","California",8,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",24134675,24477594,28098197,34375842,37951026,41992848,49786908,51785585,43194850,47037448,53340730,55722794,57383180,58346958,47085899,44494019,48233758,49056322,48133120
 "06000","California",8,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",175137458,179285894,188575959,199774406,214545925,228373835,231584219,224552183,208907905,220513282,233671786,242343419,257505735,271750533,291283038,288324444,298388925,302414512,321303177
 "06000","California",8,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",48232554,53807072,55570651,59354667,61128675,70937392,70771188,70431679,70234679,74525658,77434331,77772388,82519585,87329702,94328467,101142218,108875483,117749747,131569630
 "06000","California",8,CAGDP2,90,"...","Manufacturing and information","Thousands of dollars",270692426,263199473,281991149,301036183,328613239,349844854,370652077,391675938,363744943,374099311,376662970,390184999,433337105,457181452,499582798,527957180,572029649,600452754,624936158
 "06000","California",8,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",260632217,246662080,271917717,299272664,338925140,362382188,377979883,378485576,341272868,335805433,337594019,356513138,380284144,400978909,414857628,425089147,455530015,482092609,492046878
 "06000","California",8,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",949722211,1005180026,1061667035,1127601486,1199042272,1286336597,1335016744,1357281385,1323689011,1380039662,1448661748,1523006585,1606024191,1708612282,1838703902,1928301269,2052530735,2158938395,2293423835
 "06001","Alameda, CA",8,CAGDP2,1,"...","All industry total","Thousands of dollars",66992943,69145648,73217538,76417217,80189480,85607091,88299465,89588149,86904155,90033250,92823595,97203584,102651288,109296260,119856797,126100394,133468782,140288623,146210749
 "06001","Alameda, CA",8,CAGDP2,2,"..."," Private industries","Thousands of dollars",57941838,59394268,63053768,65637524,69198793,74155061,76484992,78216887,75583853,78573841,81202788,85397594,90059076,95788185,105483309,110996390,118193746,124521937,129851568
 "06001","Alameda, CA",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),88095,86671,89948,95076,92398,107973,84100,94540
 "06001","Alameda, CA",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",67168,69731,61024,69994,55888,66228,62605,42140,47517,36944,46066,48343,45274,57618,46688,65231,86291,56210,46265
 "06001","Alameda, CA",8,CAGDP2,10,"22","  Utilities","Thousands of dollars",173063,211779,204537,194083,193576,217141,219442,238878,245392,253021,267866,273903,472311,553615,660796,439558,463549,534421,538374
 "06001","Alameda, CA",8,CAGDP2,11,"23","  Construction","Thousands of dollars",3376098,3252638,3590627,4007450,4427177,4580490,4803643,4399992,4252303,4367652,4181872,4049095,4391359,4569823,5245249,5860359,6547940,7434606,7961103
 "06001","Alameda, CA",8,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",9476853,9020492,9580279,9691761,10002108,10435201,10251250,10434116,9999193,10201350,10370552,11395552,11813879,12135312,13981922,14938905,16546949,17177991,17363696
 "06001","Alameda, CA",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",6677496,6457649,6896573,6857885,7257305,7372696,7224604,7183155,6669177,6771124,6787663,7057289,7504096,7930900,9429354,10541413,12409239,13017003,13309121
 "06001","Alameda, CA",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",2799358,2562843,2683706,2833876,2744802,3062505,3026646,3250962,3330016,3430226,3582889,4338264,4309783,4204412,4552568,4397492,4137710,4160987,4054575
 "06001","Alameda, CA",8,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",5283713,5121094,5291976,5524175,5978225,6512187,6823329,6900197,6266022,6656587,7295857,7400372,7633808,7940558,8621693,8460437,8788269,8989919,9422483
 "06001","Alameda, CA",8,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",4753931,4935780,4975695,5178053,5327712,5584620,5596846,5058345,4465637,4800265,4960989,5592208,5916899,6192107,6463443,6576384,6847001,6906763,7312683
 "06001","Alameda, CA",8,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2923642,2973080,3107368,3409865,3674183,3871124,4244746,4492219
 "06001","Alameda, CA",8,CAGDP2,45,"51","  Information","Thousands of dollars",2802735,3124124,4003388,4263572,4139913,4437568,4922721,4981280,4591223,5396334,5262688,5545896,6106655,6056225,7157673,8590136,8623094,9390021,10288996
 "06001","Alameda, CA",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",11125491,12084197,12951614,13427110,14712226,16241787,16351695,16406115,16751629,16062519,16555309,16909103,18267512,21314695,22688632,24317848,26761811,28085872,28508105
 "06001","Alameda, CA",8,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",2581893,2954636,3302069,3079335,3436558,3696950,3450382,2851830,3204964,2295272,2470874,2573368,2615301,4287993,4657067,5086030,6325252,6141942,6271301
 "06001","Alameda, CA",8,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",8543598,9129561,9649545,10347776,11275667,12544837,12901314,13554285,13546666,13767246,14084435,14335735,15652211,17026702,18031565,19231818,20436560,21943929,22236804
 "06001","Alameda, CA",8,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",9963968,9902660,10201277,10932559,11488274,12286910,13572910,14966643,14086675,14698548,15995316,17129863,17583018,18056666,19789931,19636384,20844564,22180295,23282635
